== 国内馆嗅探 ==
('❌', '敦煌莫高窟', '->', '未找到', '')
('❌', '南京博物院', '->', '未找到', '')
('❌', '湖南博物院', '->', '未找到', '')
('❌', '苏州博物馆', '->', '未找到', '')
('✅', '香港故宫文化博物馆', '->', 'https://www.hkpm.org.hk/sc/visit/tour', 'sniff')
('❌', '陕西历史博物馆', '->', '未找到', '')
('✅', '秦始皇帝陵博物院', '->', 'https://bmy.com.cn/jingtai/ORIBMYCNCMS/bashu/pano/index.html', 'sniff')
('✅', '广岛和平纪念资料馆', '->', 'https://peace-tourism.com/', 'sniff')
('✅', '成都博物馆', '->', 'http://znkfyy.cdmuseum.com:9001/api/aitourism/chatFrame#', 'sniff')
('❌', '上海博物馆', '->', '未找到', '')
('✅', '荷兰国立博物馆', '->', 'https://www.rijksmuseum.nl/en/support/corporate/partnerships/vriendenl', 'sniff')
== 欧美馆GAC ==
('❌', '盖蒂中心', '->', '未找到')
('❌', '维也纳艺术史博物馆', '->', '未找到')
('❌', '橘园美术馆', '->', '未找到')
('❌', '罗丹美术馆', '->', '未找到')
('❌', '莫瑞泰斯皇家美术馆', '->', '未找到')
('❌', '维多利亚国家美术馆', '->', '未找到')
('❌', '泰特现代美术馆', '->', '未找到')
('❌', '美国国家美术馆', '->', '未找到')
('❌', '安大略皇家博物馆', '->', '未找到')
('❌', '伦敦科学博物馆', '->', '未找到')
('❌', '美国国家历史博物馆', '->', '未找到')
('❌', '卢浮宫阿布扎比', '->', '未找到')
('❌', '帝国战争博物馆', '->', '未找到')
('❌', '佩加蒙博物馆', '->', '未找到')
已修复 5 条
